_rg_o_entidade,v_nculo,cargo,escolaridade,vagas,publica_o_di_rio_oficial_da_uni_o_dou,link_publicacao_dou,tipo_de_autoriza_o,data_provimento,area_atuacao_governamental,norma_jur_dica,data_publicacao_dou,ano_da_publica_o,portaria_concurso,data_publicacao_portaria_concurso,unnamed_12,observacao,ato_oficial,link_da_publica_o_no_d_o_u_,_rea_de_atua_o_governamental
Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho - FUNDACENTRO,MTE,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,Concurso Novo,,Social,Port. 506,2009-12-30,2009.0,Port. 504,,,,,,
Comando do Exército - CEX,MD,Professor de Magistério de 1° e 2° Graus,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 507,2009-12-30,2009.0,Port. 281,,,,,,
Instituto Nacional de Colonização e Reforma Agrária – INCRA,MDA,Analista em Reforma e Desenvolvimento Agrário,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 508,2009-12-30,2009.0,Port. 508,,,,,,
Instituto Nacional de Colonização e Reforma Agrária – INCRA,MDA,Técnico em Reforma e Desenvolvimento Agrário,Nível Intermediário,,,,Concurso Novo,,Infraestrutura,Port. 508,2009-12-30,2009.0,Port. 508,,,,,,
Instituto Nacional de Colonização e Reforma Agrária – INCRA,MDA,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 508,2009-12-30,2009.0,Port. 508,,,,,,
Instituto Nacional de Colonização e Reforma Agrária – INCRA,MDA,Engenheiro Agrônomo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 508,2009-12-30,2009.0,Port. 508,,,,,,
Comando do Exército - CEX,MD,Engenheiro de Tecnologia Militar,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 509,2009-12-30,2009.0,Port. 509,,,,,,
Comando do Exército - CEX,MD,Analista de Tecnologia Militar,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 509,2009-12-30,2009.0,Port. 509,,,,,,
Comando do Exército - CEX,MD,Técnico de Tecnologia Militar,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 509,2009-12-30,2009.0,Port. 509,,,,,,
Instituto Federal - IFET,MEC,"Professor da Carreira de Ensino Básico, Técnico e Tecnológico",Nível Superior,,,,Concurso Novo,,Social,Port. 537,2009-12-31,2009.0,Port. 537,,,,,,
Instituto Federal - IFET,MEC,Técnico Administrativo - classe C,Nível Intermediário,,,,Concurso Novo,,Social,Port. 537,2009-12-31,2009.0,Port. 537,,,,,,
Instituto Federal - IFET,MEC,Técnico Administrativo - classe D,Nível Intermediário,,,,Concurso Novo,,Social,Port. 537,2009-12-31,2009.0,Port. 537,,,,,,
Instituto Federal - IFET,MEC,Técnico Administrativo - classe E,Nível Superior,,,,Concurso Novo,,Social,Port. 537,2009-12-31,2009.0,Port. 537,,,,,,
"Coordenação de Aperfeiçoamento de Pessoal
de Nível Superior - CAPES",MEC,Analista em Ciência e Tecnologia,Nível Superior,,,,1º Provimento,,Social,Port. 468,2008-01-04,2008.0,Port. 468,,,,,,
"Coordenação de Aperfeiçoamento de Pessoal
de Nível Superior - CAPES",MEC,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,1º Provimento,,Social,Port. 468,2008-01-04,2008.0,Port. 468,,,,,,
Ministério do Esporte - ME,ME,Administrador,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Arquivista,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Assistente Social,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Bibliotecário,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Contador,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Economista,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Engenheiro,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Estatístico,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Médico,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Psicólogo,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Sociólogo,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Técnico em Assuntos Educacionais,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Técnico em Comunicação Social,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Técnico de Nível Superior,Nível Superior,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Ministério do Esporte - ME,ME,Agente Administrativo,Nível Intermediário,,,,1º Provimento,,Social,Port. 469,2008-01-04,2008.0,Port. 469,,,,,,
Agência Nacional de Saúde Suplementar - ANS,MS,Especialista em Regulação de Saúde Suplementar,Nível Superior,,,,Adicional de até 50%,,Social,Port. 002,2008-01-07,2008.0,Port. 303,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Analista de Infraestrutura,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 009,2008-01-24,2008.0,Port. 009,,,,,,
"Ministério do Planejamento, Orçamento e Gestão – MP",MP,Especialista em Infra-Estrutura Sênior,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 009,2008-01-24,2008.0,Port. 009,,,,,,
Ministério da Ciência Tecnologia e Inovação - MCTI,MCTI,Analista em Ciência e Tecnologia,Nível Superior,,,,1º Provimento,,Social,Port. 022,2008-02-20,2008.0,Port. 022,,,,,,
Ministério da Ciência Tecnologia e Inovação - MCTI,MCTI,Auxiliar em Ciência e Tecnologia,Nível Intermediário,,,,1º Provimento,,Social,Port. 022,2008-02-20,2008.0,Port. 022,,,,,,
Ministério da Ciência Tecnologia e Inovação - MCTI,MCTI,Auxiliar Técnico,Nível Intermediário,,,,1º Provimento,,Social,Port. 022,2008-02-20,2008.0,Port. 022,,,,,,
Ministério da Ciência Tecnologia e Inovação - MCTI,MCTI,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,1º Provimento,,Social,Port. 022,2008-02-20,2008.0,Port. 022,,,,,,
Ministério da Ciência Tecnologia e Inovação - MCTI,MCTI,Pesquisador,Nível Superior,,,,1º Provimento,,Social,Port. 022,2008-02-20,2008.0,Port. 022,,,,,,
Ministério da Ciência Tecnologia e Inovação - MCTI,MCTI,Técnico em Ciência e Tecnologia,Nível Intermediário,,,,1º Provimento,,Social,Port. 022,2008-02-20,2008.0,Port. 022,,,,,,
Ministério da Ciência Tecnologia e Inovação - MCTI,MCTI,Tecnologista,Nível Superior,,,,1º Provimento,,Social,Port. 022,2008-02-20,2008.0,Port. 022,,,,,,
Instituto Nacional de Colonização e Reforma Agrária – INCRA,MDA,Analista de Reforma e Desenvolvimento Agrário,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 023,2008-02-20,2008.0,Port. 148,,,,,,
Instituto Nacional de Colonização e Reforma Agrária – INCRA,MDA,Técnico em Reforma e Desenvolvimento Agrário,Nível Intermediário,,,,Adicional de até 50%,,Infraestrutura,Port. 023,2008-02-20,2008.0,Port. 148,,,,,,
Instituto Nacional de Colonização e Reforma Agrária – INCRA,MDA,Analista Administrativo,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 023,2008-02-20,2008.0,Port. 148,,,,,,
Instituto Nacional de Colonização e Reforma Agrária – INCRA,MDA,Técnico Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Infraestrutura,Port. 023,2008-02-20,2008.0,Port. 148,,,,,,
Instituto de Pesquisa Econômica Aplicada – IPEA,PR,Técnico de Planejamento e Pesquisa,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 049,2008-03-13,2008.0,Port. 049,,,,,,
Instituto de Pesquisa Econômica Aplicada – IPEA,PR,Técnico em Desenvolvimento e Administração,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 049,2008-03-13,2008.0,Port. 049,,,,,,
Instituto de Pesquisa Econômica Aplicada – IPEA,PR,Analista de Sistemas,Nível Superior,,,,1º Provimento,,Articulação Governamental,Port. 049,2008-03-13,2008.0,Port. 049,,,,,,
"Ministério do Desenvolvimento, Indústria e Comércio Exterior – MDIC",MDIC,Analista de Comércio Exterior,Nível Superior,,,,1º Provimento,,Desenvolvimento Econômico e Produtivo,Port. 050,2008-03-13,2008.0,Port. 050,,,,,,
Agência Nacional de Aviação Civil - ANAC,PR,Analista Administrativo,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 054,2008-03-18,2008.0,Port. 247,,,,,,
Agência Nacional de Aviação Civil - ANAC,PR,Técnico em Regulação de Aviação Civil,Nível Intermediário,,,,Adicional de até 50%,,Articulação Governamental,Port. 054,2008-03-18,2008.0,Port. 247,,,,,,
Agência Nacional de Aviação Civil - ANAC,PR,Técnico Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Articulação Governamental,Port. 054,2008-03-18,2008.0,Port. 247,,,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Assistente em Ciência e Tecnologia,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 061,2008-03-25,2008.0,Port. 124,,,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Técnico,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 061,2008-03-25,2008.0,Port. 124,,,,,,
Instituto Nacional de Câncer José Alencar Gomes da Silva - INCA,MS,Tecnologista,Nível Superior,,,,Adicional de até 50%,,Social,Port. 061,2008-03-25,2008.0,Port. 124,,,,,,
Departamento Nacional de Produção Mineral - DNPM,MME,Especialista em Recursos Minerais,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 068,2008-03-28,2008.0,Port. 287,,,,,,
Departamento Nacional de Produção Mineral - DNPM,MME,Técnico em Atividades de Mineração,Nível Intermediário,,,,Adicional de até 50%,,Infraestrutura,Port. 068,2008-03-28,2008.0,Port. 287,,,,,,
Departamento Nacional de Produção Mineral - DNPM,MME,Analista Administrativo,Nível Superior,,,,Adicional de até 50%,,Infraestrutura,Port. 068,2008-03-28,2008.0,Port. 003,,,,,,
Departamento Nacional de Produção Mineral - DNPM,MME,Técnico Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Infraestrutura,Port. 068,2008-03-28,2008.0,Port. 003,,,,,,
Comando da Marinha - CMAR,MD,Engenheiro de Tecnologia Militar,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 080,2008-04-23,2008.0,Port. 080,,,,,,
Comando da Marinha - CMAR,MD,Analista de Tecnologia Militar,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 080,2008-04-23,2008.0,Port. 080,,,,,,
Comando da Marinha - CMAR,MD,Técnico de Tecnologia Militar,Nível Intermediário,,,,Concurso Novo,,Articulação Governamental,Port. 080,2008-04-23,2008.0,Port. 080,,,,,,
Fundação Instituto Brasileiro de Geografia e Estatística – IBGE,MP,Técnico,Nível Intermediário,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 086,2008-04-28,2008.0,Port. 259,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento – MAPA",MAPA,Fiscal Federal Agropecuário,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 087,2008-04-28,2008.0,Port. 219,,,,,,
Instituto Nacional da Propriedade Industrial – INPI,MDIC,"Analista em Planejamento, Gestão e Infraestrutura em Propriedade Industrial",Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 090,2008-05-02,2008.0,Port. 090,,,,,,
Instituto Nacional da Propriedade Industrial – INPI,MDIC,Especialista Sênior em Propriedade Industrial,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 090,2008-05-02,2008.0,Port. 090,,,,,,
Instituto Nacional da Propriedade Industrial – INPI,MDIC,Pesquisador em Propriedade Industrial,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 090,2008-05-02,2008.0,Port. 090,,,,,,
Instituto Nacional da Propriedade Industrial – INPI,MDIC,"Técnico em Planejamento, Gestão e Infra-Estrutura",Nível Intermediário,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 090,2008-05-02,2008.0,Port. 090,,,,,,
Instituto Nacional da Propriedade Industrial – INPI,MDIC,Técnico em Propriedade Industrial,Nível Intermediário,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 090,2008-05-02,2008.0,Port. 090,,,,,,
Instituto Federal - IFET,MEC,Professor de Magistério de 1° e 2° Graus,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Assistente de Alunos,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Assistente de Laboratório,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Assistente em Administração,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Auxiliar de Biblioteca,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Auxiliar de Enfermagem,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Auxiliar em Assuntos Educacionais,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Técnico em Agropecuária,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Técnico em Artes Gráficas,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Técnico em Alimentos e Laticínios,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Técnico em Audiovisual,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Técnico em Contabilidade,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Técnico em Eletrônica,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Técnico em Eletrotécnica,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Técnico em Enfermagem,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
"Instituições
Federais de Educação Profissional e Tecnológica - IFET",MEC,Técnico de Laboratório,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Técnico de Tecnologia da Informação,Nível Intermediário,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Administrador,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Analista de Tecnologia da Informação,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Arquiteto e Urbanista,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Assistente Social,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Auditor,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Bibliotecário-Documentalista,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Contador,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Economista,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Enfermeiro,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Engenheiro,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Engenheiro Agrônomo,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Engenheiro de Segurança do Trabalho,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Estatístico,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Fisioterapeuta,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Jornalista,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Médico,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Médico Veterinário,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Nutricionista,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Odontólogo,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Pedagogo,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Produtor Cultural,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Programador Visual,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Psicólogo,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Técnico em Assuntos Educacionais,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Instituto Federal - IFET,MEC,Zootecnista,Nível Superior,,,,1º Provimento,,Social,Port. 095,2008-05-07,2008.0,Port. 095,,,,,,
Agência Nacional de Energia Elétrica - ANEEL,MME,Técnico Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Infraestrutura,Port. 100,2008-05-09,2008.0,Port. 347,,,,,,
Banco Central do Brasil – BACEN,MF,Analista do Banco Central do Brasil,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 101,2008-05-09,2008.0,Port. 206,,,,,,
Departamento de Polícia Federal - DPF,MJ,Agente de Polícia Federal,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 103,2008-05-12,2008.0,Port. 078,,,,,,
Ministério do Desenvolvimento Social e Combate à Fome - MDS,MDS,Administrador,Nível Superior,,,,Adicional de até 50%,,Social,Port. 107,2008-05-15,2008.0,Port. 396,,,,,,
Ministério do Desenvolvimento Social e Combate à Fome - MDS,MDS,Contador,Nível Superior,,,,Adicional de até 50%,,Social,Port. 107,2008-05-15,2008.0,Port. 396,,,,,,
Ministério do Desenvolvimento Social e Combate à Fome - MDS,MDS,Técnico de Nível Superior,Nível Superior,,,,Adicional de até 50%,,Social,Port. 107,2008-05-15,2008.0,Port. 396,,,,,,
Ministério do Desenvolvimento Social e Combate à Fome - MDS,MDS,Agente Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 107,2008-05-15,2008.0,Port. 396,,,,,,
Instituto Nacional do Seguro Social - INSS,MPS,Analista do Seguro Social,Nível Superior,,,,Concurso Novo,,Social,Port. 108,2008-05-16,2008.0,Port. 108,,,,,,
Comando do Exército - CEX,MD,Professor de Magistério Superior,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 115,2008-05-23,2008.0,Port. 115,,,,,,
Agência Nacional de Aviação Civil - ANAC,PR,Especialista em Regulação de Aviação Civil,Nível Superior,,,,Excepcional,,Articulação Governamental,EMI 037,2008-05-28,2008.0,Port. 247,,,,,,
Fundação Instituto Brasileiro de Geografia e Estatística – IBGE,MP,Pesquisador em Informações Geográficas e Estatísticas,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 118,2008-05-28,2008.0,Port. 118,,,,,,
Ministério da Justiça – MJ,MJ,Administrador,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 119,2008-05-28,2008.0,Port. 391,,,,,,
Ministério da Justiça – MJ,MJ,Arquivista,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 119,2008-05-28,2008.0,Port. 391,,,,,,
Ministério da Justiça – MJ,MJ,Técnico em Assuntos Culturais,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 119,2008-05-28,2008.0,Port. 391,,,,,,
Ministério da Justiça – MJ,MJ,Técnico de Arquivo,Nível Intermediário,,,,Adicional de até 50%,,Articulação Governamental,Port. 119,2008-05-28,2008.0,Port. 391,,,,,,
Ministério da Justiça – MJ,MJ,Agente Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Articulação Governamental,Port. 119,2008-05-28,2008.0,Port. 391,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Analista de Gestão em Saúde,Nível Superior,,,,Adicional de até 50%,,Social,Port. 124,2008-05-28,2008.0,Port. 014,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Pesquisador em Saúde Pública,Nível Superior,,,,Adicional de até 50%,,Social,Port. 124,2008-05-28,2008.0,Port. 014,,,,,,
Fundação Oswaldo Cruz - FIOCRUZ,MS,Tecnologista em Saúde Pública,Nível Superior,,,,Adicional de até 50%,,Social,Port. 124,2008-05-28,2008.0,Port. 014,,,,,,
Instituto Nacional do Seguro Social - INSS,MPS,Perito Médico Previdenciário,Nível Superior,,,,Adicional de até 50%,,Social,Port. 130,2008-06-04,2008.0,Port. 337,,,,,,
Secretaria do Tesouro Nacional – STN,MF,Analista de Finanças e Controle,Nível Superior,,,,Concurso Novo,,Desenvolvimento Econômico e Produtivo,Port. 132,2008-06-05,2008.0,Port. 132,,,,,,
Ministério do Turismo - MTUR,MTUR,Técnico de Nível Superior,Nível Superior,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 133,2008-06-05,2008.0,Port. 338,,,,,,
Ministério do Turismo - MTUR,MTUR,Agente Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Desenvolvimento Econômico e Produtivo,Port. 133,2008-06-05,2008.0,Port. 338,,,,,,
Fundação Biblioteca Nacional – FBN,MinC,Analista de Administração,Nível Superior,,,,Adicional de até 50%,,Social,Port. 134,2008-06-05,2008.0,Port. 330,,,,,,
Fundação Biblioteca Nacional – FBN,MinC,Assistente em Documentação,Nível Superior,,,,Adicional de até 50%,,Social,Port. 134,2008-06-05,2008.0,Port. 330,,,,,,
Fundação Biblioteca Nacional – FBN,MinC,Bibliotecário,Nível Superior,,,,Adicional de até 50%,,Social,Port. 134,2008-06-05,2008.0,Port. 330,,,,,,
Fundação Biblioteca Nacional – FBN,MinC,Técnico em Documentação,Nível Superior,,,,Adicional de até 50%,,Social,Port. 134,2008-06-05,2008.0,Port. 330,,,,,,
Fundação Biblioteca Nacional – FBN,MinC,Técnico em Pesquisa,Nível Superior,,,,Adicional de até 50%,,Social,Port. 134,2008-06-05,2008.0,Port. 330,,,,,,
Fundação Biblioteca Nacional – FBN,MinC,Técnico em Promoção e Divulgação Cultural,Nível Superior,,,,Adicional de até 50%,,Social,Port. 134,2008-06-05,2008.0,Port. 330,,,,,,
Fundação Nacional de Artes – FUNARTE,MinC,Documentação,Nível Superior,,,,Adicional de até 50%,,Social,Port. 134,2008-06-05,2008.0,Port. 330,,,,,,
Fundação Nacional de Artes – FUNARTE,MinC,Profissional Técnico Superior,Nível Superior,,,,Adicional de até 50%,,Social,Port. 134,2008-06-05,2008.0,Port. 330,,,,,,
Ministério da Cultura - MinC,MinC,Arquivista,Nível Superior,,,,Adicional de até 50%,,Social,Port. 134,2008-06-05,2008.0,Port. 330,,,,,,
Ministério da Cultura - MinC,MinC,Agente Administrativo,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 134,2008-06-05,2008.0,Port. 330,,,,,,
Ministério da Cultura - MinC,MinC,Técnico em Contabilidade,Nível Intermediário,,,,Adicional de até 50%,,Social,Port. 134,2008-06-05,2008.0,Port. 330,,,,,,
Comando da Aeronáutica - COMAER,MD,Professor de Magistério Superior,Nível Superior,,,,Concurso Novo,,Articulação Governamental,Port. 136,2008-06-05,2008.0,Port. 136,,,,,,
Advocacia-Geral de União - AGU,PR,Administrador,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 146,2008-06-06,2008.0,Port. 187,,,,,,
Advocacia-Geral de União - AGU,PR,Contador,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 146,2008-06-06,2008.0,Port. 187,,,,,,
Advocacia-Geral de União - AGU,PR,Economista,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 146,2008-06-06,2008.0,Port. 187,,,,,,
Advocacia-Geral de União - AGU,PR,Engenheiro,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 146,2008-06-06,2008.0,Port. 187,,,,,,
Advocacia-Geral de União - AGU,PR,Estatístico,Nível Superior,,,,Adicional de até 50%,,Articulação Governamental,Port. 146,2008-06-06,2008.0,Port. 187,,,,,,
Departamento Nacional de Infraestrutura de Transportes - DNIT,MT,Analista de Infraestrutura de Transporte,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 147,2008-06-06,2008.0,Port. 147,,,,,,
Agência Nacional de Telecomunicações - ANATEL,MC,Especialista em Regulação de Serviços Públicos de Telecomunicações,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 148,2008-06-06,2008.0,Port. 148,,,,,,
Agência Nacional de Telecomunicações - ANATEL,MC,Analista Administrativo,Nível Superior,,,,Concurso Novo,,Infraestrutura,Port. 148,2008-06-06,2008.0,Port. 148,,,,,,
